Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava_;Provajder
S___2525CookingMenu                     ;2024-11-01;150;13;1950;1950;0;1950;0;0;0;0;0;0;Infobip_St
S___2525Gamestore                       ;2024-11-01;150;48;7200;7200;1500;7200;0;0;0;0;0;1800;Infobip_St
S___2525Horoscope                       ;2024-11-01;150;10;1500;1500;0;1500;0;0;0;0;0;0;Infobip_St
S___2525Locker                          ;2024-11-01;150;1;150;150;0;150;0;0;0;0;0;0;Infobip_St
S___2525LOLVideo                        ;2024-11-01;150;87;13050;13050;0;13050;0;0;0;0;0;0;Infobip_St
S___2525MegaplejSrbija                  ;2024-11-01;100;8;800;800;0;800;0;0;0;0;0;0;Infobip_St
S___2525RebornBeauty                    ;2024-11-01;150;21;3150;3150;0;3150;0;0;0;0;0;0;Infobip_St
S___2525Vanga                           ;2024-11-01;125;32;4000;4000;500;4000;0;0;0;0;0;600;Infobip_St
S___2525Vanga2                          ;2024-11-01;125;4;500;500;0;500;0;0;0;0;0;0;Infobip_St
S___4848FunnyGIF                        ;2024-11-01;150;19;2850;2850;0;2850;0;0;0;0;0;0;Infobip_St
S___4848GameBar                         ;2024-11-01;150;5;750;750;0;750;0;0;0;0;0;0;Infobip_St
S___6666Kissclub                        ;2024-11-01;200;7;1400;1400;0;1400;0;0;0;0;0;0;Infobip_St
S_2525_CARINA1_2525Carina_1             ;2024-11-01;100;1;100;100;0;100;0;0;0;0;0;0;Infobip_St
S_2525_CENT3_Centili3                   ;2024-11-01;50;1;50;50;0;50;0;0;0;0;0;0;Infobip_St
S_2525_CENT5_Centili5                   ;2024-11-01;100;2;200;200;0;200;0;0;0;0;0;0;Infobip_St
S_2525_CENT7_Centili7                   ;2024-11-01;200;14;2800;2800;0;2800;0;0;0;0;0;0;Infobip_St
S_2525_CENT8_Centili8                   ;2024-11-01;300;1;300;300;0;300;0;0;0;0;0;0;Infobip_St
S_3353_RBSTA_RaiffeisenBank_STA         ;2024-11-01;7;3;21;21;0;21;0;0;0;0;0;0;Infobip_St
U___2525BeautifulPhoto                  ;2024-11-01;150;10;1500;1500;0;1500;0;0;0;0;0;0;Infobip_St
S___2525BeautifulPhoto                  ;2024-12-01;150;5;750;750;750;750;0;0;0;0;0;900;Infobip_St
S___2525CookingMenu                     ;2024-12-01;150;12;1800;1800;450;1800;0;0;0;0;0;540;Infobip_St
S___2525Gamestore                       ;2024-12-01;150;39;5850;5850;3150;5850;0;0;0;0;0;3780;Infobip_St
S___2525Horoscope                       ;2024-12-01;150;10;1500;1500;0;1500;0;0;0;0;0;0;Infobip_St
S___2525Locker                          ;2024-12-01;150;1;150;150;0;150;0;0;0;0;0;0;Infobip_St
S___2525LOLVideo                        ;2024-12-01;150;74;11100;11100;1800;11100;0;0;0;0;0;2160;Infobip_St
S___2525MegaplejSrbija                  ;2024-12-01;100;1;100;100;100;100;0;0;0;0;0;120;Infobip_St
S___2525Rapidooh                        ;2024-12-01;150;7;1050;1050;0;1050;0;0;0;0;0;0;Infobip_St
S___2525RebornBeauty                    ;2024-12-01;150;21;3150;3150;1500;3150;0;0;0;0;0;1800;Infobip_St
S___2525Vanga                           ;2024-12-01;125;33;4125;4125;1000;3625;500;500;0;0;0;1200;Infobip_St
S___2525Vanga2                          ;2024-12-01;125;4;500;500;0;500;0;0;0;0;0;0;Infobip_St
S___4848FunnyGIF                        ;2024-12-01;150;12;1800;1800;0;1800;0;0;0;0;0;0;Infobip_St
S___4848GameBar                         ;2024-12-01;150;7;1050;1050;0;1050;0;0;0;0;0;0;Infobip_St
