Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava_;Provajder
S___6666Kissclub                        ;2024-12-01;200;8;1600;1600;0;1600;0;0;0;0;0;0;Infobip_St
S_2525_CENT3_Centili3                   ;2024-12-01;50;2;100;100;100;100;0;0;0;0;0;120;Infobip_St
S_2525_CENT5_Centili5                   ;2024-12-01;100;3;300;300;200;300;0;0;0;0;0;240;Infobip_St
S_2525_CENT7_Centili7                   ;2024-12-01;200;25;5000;5000;600;5000;0;0;0;0;0;720;Infobip_St
S_2525_CENT8_Centili8                   ;2024-12-01;300;3;900;900;600;900;0;0;0;0;0;720;Infobip_St
S_3353_RBSTA_RaiffeisenBank_STA         ;2024-12-01;7;4;28;28;7;28;0;0;0;0;0;8.4;Infobip_St
U___2525BeautifulPhoto                  ;2024-12-01;150;6;900;900;900;900;0;0;0;0;0;1080;Infobip_St
S___2525BeautifulPhoto                  ;2025-01-01;150;1;150;150;0;0;150;150;0;0;0;0;Infobip_St
S___2525CookingMenu                     ;2025-01-01;150;3;450;450;450;450;0;0;0;0;0;540;Infobip_St
S___2525Gamestore                       ;2025-01-01;150;7;1050;1050;900;900;150;150;0;0;0;1080;Infobip_St
S___2525Horoscope                       ;2025-01-01;150;2;300;300;300;300;0;0;0;0;0;360;Infobip_St
S___2525Locker                          ;2025-01-01;150;1;150;150;0;0;150;150;0;0;0;0;Infobip_St
S___2525LOLVideo                        ;2025-01-01;150;20;3000;3000;2400;2400;600;600;0;0;0;2880;Infobip_St
S___2525Rapidooh                        ;2025-01-01;150;1;150;150;150;150;0;0;0;0;0;180;Infobip_St
S___2525RebornBeauty                    ;2025-01-01;150;3;450;450;300;300;150;150;0;0;0;360;Infobip_St
S___2525Vanga                           ;2025-01-01;125;13;1625;1625;1375;1375;250;250;0;0;0;1650;Infobip_St
S___2525Vanga2                          ;2025-01-01;125;1;125;125;125;125;0;0;0;0;0;150;Infobip_St
S___4848FunnyGIF                        ;2025-01-01;150;2;300;300;300;300;0;0;0;0;0;360;Infobip_St
S___4848GameBar                         ;2025-01-01;150;3;450;450;450;450;0;0;0;0;0;540;Infobip_St
S___6666Kissclub                        ;2025-01-01;200;5;1000;1000;200;200;800;800;0;0;0;240;Infobip_St
S_2525_CENT5_Centili5                   ;2025-01-01;100;1;100;100;0;0;100;100;0;0;0;0;Infobip_St
S_2525_CENT7_Centili7                   ;2025-01-01;200;7;1400;1400;1000;1000;400;400;0;0;0;1200;Infobip_St
S_3353_RBSTA_RaiffeisenBank_STA         ;2025-01-01;7;2;14;14;14;14;0;0;0;0;0;16.8;Infobip_St
